key,en,fr,am
authResetIntro,Enter your email and we'll send you a link to reset your password.,Entrez votre email et nous vous enverrons un lien pour réinitialiser votre mot de passe.,ኢሜይልዎን ያስገቡ፣ የይለፍ ቃል ዳግም ለማስጀመር አገናኝ እንልክልዎታለን።
authResetSend,Send reset link,Envoyer le lien,አገናኝ ላክ
authConfirmSent,Check your email to confirm your account.,Vérifiez votre email pour confirmer votre compte.,መለያዎን ለማረጋገጥ ኢሜይልዎን ይመልከቱ።
authResendDone,Confirmation email sent — check your inbox.,Email de confirmation renvoyé — vérifiez votre boîte de réception.,የማረጋገጫ ኢሜይል ተልኳል — የመልእክት ሳጥንዎን ይመልከቱ።
authResetSent,"If an account exists for that email, we've sent a reset link.","Si un compte existe pour cet email, nous avons envoyé un lien de réinitialisation.",ለዚያ ኢሜይል መለያ ካለ፣ የዳግም ማስጀመሪያ አገናኝ ልከናል።
authPrivacyNote,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,ጸሎቶችዎ የግል እና ደህንነታቸው የተጠበቀ ናቸው 🔒
authTagline,"""Pray without ceasing"" — 1 Thess. 5:17",« Priez sans cesse » — 1 Thess. 5:17,"""ሳታቋርጡ ጸልዩ"" — 1ኛ ተሰ. 5:17"
authErrInvalid,"Email or password is incorrect. Try again, or reset your password.",Email ou mot de passe incorrect. Réessayez ou réinitialisez votre mot de passe.,ኢሜይል ወይም የይለፍ ቃል የተሳሳተ ነው። እንደገና ይሞክሩ ወይም የይለፍ ቃልዎን ዳግም ያስጀምሩ።
authErrUnconfirmed,Please confirm your email first — you can resend the confirmation email below.,Veuillez d'abord confirmer votre email — vous pouvez renvoyer l'email de confirmation ci-dessous.,እባክዎ መጀመሪያ ኢሜይልዎን ያረጋግጡ — ከታች የማረጋገጫ ኢሜይሉን እንደገና መላክ ይችላሉ።
authErrInUse,An account already exists with this email. Try logging in instead.,Un compte existe déjà avec cet email. Essayez plutôt de vous connecter.,በዚህ ኢሜይል መለያ አስቀድሞ አለ። እባክዎ ይግቡ።
authErrWeakPass,Choose a password with at least 6 characters.,Choisissez un mot de passe d'au moins 6 caractères.,ቢያንስ 6 ቁምፊ ያለው የይለፍ ቃል ይምረጡ።
authErrEmail,That email address doesn't look right.,Cette adresse email ne semble pas valide.,ይህ የኢሜይል አድራሻ ትክክል አይመስልም።
authErrRate,Too many attempts. Please wait a moment and try again.,Trop de tentatives. Patientez un instant avant de réessayer.,በጣም ብዙ ሙከራዎች። እባክዎ ትንሽ ቆይተው እንደገና ይሞክሩ።
savedOnToday,Your prayer is now on Today.,Votre prière est maintenant dans Aujourd'hui.,"ጸሎትዎ አሁን በ""ዛሬ"" ውስጥ ነው።"
setReminderCta,Set a reminder,Définir un rappel,አስታዋሽ አዘጋጅ
personNamePlaceholder,First and last name,Prénom et nom,ሙሉ ስም
providerEmail,Email / Password,Email / Mot de passe,ኢሜይል / የይለፍ ቃል
markAllRead,Mark all as read,Tout marquer comme lu,ሁሉንም እንደተነበበ ምልክት አድርግ
loadMore,Load more,Voir plus,ተጨማሪ ጫን
seeAllNotifications,See all notifications,Voir toutes les notifications,ሁሉንም ማሳወቂያዎች ይመልከቱ
notifEmpty,No notifications yet,Aucune notification pour l'instant,እስካሁን ማሳወቂያ የለም
notifEmptySub,Updates from your groups and friends will appear here.,Les nouveautés de vos groupes et amis apparaîtront ici.,ከቡድኖችዎ እና ከጓደኞችዎ ዜናዎች እዚህ ይታያሉ።
notifError,Couldn't load notifications.,Impossible de charger les notifications.,ማሳወቂያዎችን መጫን አልተቻለም።
notifUnreadLabel,Inbox ({n} unread),Boîte de réception ({n} non lues),የገቢ መልዕክት ሳጥን ({n} ያልተነበቡ)
notifFriendRequest,You have a new friend request,Vous avez une nouvelle demande d'ami,አዲስ የጓደኝነት ጥያቄ አለዎት
notifGroupInvitation,You've been invited to a prayer group,Vous avez été invité à un groupe de prière,ወደ የጸሎት ቡድን ተጋብዘዋል
notifCommunityUpdate,There's an update on a prayer you follow,Il y a une mise à jour sur une prière que vous suivez,የሚከታተሉት ጸሎት ላይ ዝማኔ አለ
notifAnswered,A prayer you follow was marked answered,Une prière que vous suivez a été marquée exaucée,የሚከታተሉት ጸሎት እንደተመለሰ ተመዝግቧል
notifReaction,Several people are praying with you,Plusieurs personnes prient avec vous,ብዙ ሰዎች ከእርስዎ ጋር እየጸለዩ ናቸው
notifGroupPrayerAdded,A new prayer was shared in your group,Une nouvelle prière a été partagée dans votre groupe,በቡድንዎ ውስጥ አዲስ ጸሎት ተጋርቷል
notifTestimony,A testimony was shared in your group,Un témoignage a été partagé dans votre groupe,በቡድንዎ ውስጥ ምስክርነት ተጋርቷል
notifMembership,You were added to a prayer group,Vous avez été ajouté à un groupe de prière,ወደ የጸሎት ቡድን ተጨምረዋል
notifRoleChange,Your role in a group has changed,Votre rôle dans un groupe a changé,በቡድን ውስጥ ያለዎት ሚና ተቀይሯል
notifGeneric,You have a new notification,Vous avez une nouvelle notification,አዲስ ማሳወቂያ አለዎት
notifPrefsTitle,Community notifications,Notifications de la communauté,የማህበረሰብ ማሳወቂያዎች
notifPrefsSub,Choose what you're notified about and how.,Choisissez ce dont vous êtes notifié et comment.,ስለ ምን እና እንዴት እንደሚያሳውቁ ይምረጡ።
notifInApp,In-app notifications,Notifications dans l'app,በመተግበሪያ ውስጥ ማሳወቂያዎች
notifInAppSub,Show notifications in the app inbox.,Afficher les notifications dans la boîte de réception.,ማሳወቂያዎችን በመተግበሪያ መልእክት ሳጥን ውስጥ አሳይ።
notifPush,Push notifications,Notifications push,የግፋ ማሳወቂያዎች
notifPushSub,Send notifications to this device even when the app is closed.,Envoyer des notifications à cet appareil même quand l'app est fermée.,መተግበሪያው ተዘግቶም ቢሆን ወደዚህ መሣሪያ ማሳወቂያ ላክ።
quietHours,Quiet hours,Heures silencieuses,የጸጥታ ሰዓታት
quietHoursSub,Pause push during these hours. In-app notifications still arrive.,Suspendre les push pendant ces heures. Les notifications dans l'app arrivent quand même.,በእነዚህ ሰዓታት ግፋን አቁም። በመተግበሪያ ውስጥ ማሳወቂያዎች አሁንም ይደርሳሉ።
quietFrom,From,De,ከ
quietTo,To,À,እስከ
timezone,Time zone,Fuseau horaire,የሰዓት ክልል
notifByType,By notification type,Par type de notification,በማሳወቂያ ዓይነት
modeImmediate,Immediate,Immédiat,ወዲያውኑ
modeDigest,Digest,Résumé,ማጠቃለያ
modeOff,Off,Désactivé,ጠፍቷል
followPrayer,Follow,Suivre,ተከተል
following,Following,Suivi,እየተከተሉ
followingPrayer,You'll be notified about this prayer,Vous serez notifié pour cette prière,ስለዚህ ጸሎት ይያሳወቁዎታል
unfollowedPrayer,You unfollowed this prayer,Vous ne suivez plus cette prière,ይህን ጸሎት መከተል አቁመዋል
prayTogether,Pray together,Prier ensemble,አብረን እንጸልይ
beFirstToPray,Be the first to pray,Soyez le premier à prier,መጀመሪያ ሆነው ይጸልዩ
andNMore,and {n} more,et {n} de plus,እና {n} ተጨማሪ
testNotifBody,Here are today's prayers. Take a moment to pray 🙏,Voici vos prières du jour. Prenez un moment pour prier 🙏,የዛሬ ጸሎቶችዎ እነሆ። ለመጸለይ ጥቂት ጊዜ ይውሰዱ 🙏
addThanks,Add a word of thanks,Ajouter un mot de reconnaissance,የምስጋና ቃል ይጨምሩ
thanksSaved,Your thanks is recorded 🙏,Votre reconnaissance est enregistrée 🙏,ምስጋናዎ ተመዝግቧል 🙏
thanksPrompt,Pause and thank God for His answer,Prenez un instant pour remercier Dieu de sa réponse,ቆም ብለው እግዚአብሔርን ስለ መልሱ ያመስግኑ
answeredThisMonth,This month,Ce mois-ci,በዚህ ወር
answeredEarlier,Earlier,Auparavant,ቀደም ብሎ
vaultTitle,Prayer Vault,Coffre de prière,የጸሎት ካዝና
vaultManageSub,Encrypt your private prayers with a passphrase only you know.,Chiffrez vos prières privées avec une phrase secrète que vous seul connaissez.,የግል ጸሎቶችዎን እርስዎ ብቻ በሚያውቁት የይለፍ ሐረግ ያመስጥሩ።
vaultStatusLocked,Locked,Verrouillé,ተቆልፏል
vaultStatusUnlocked,Unlocked,Déverrouillé,ተከፍቷል
vaultSetup,Set up vault,Configurer le coffre,ካዝና አዘጋጅ
vaultSetupTitle,Set up your Prayer Vault,Configurer votre coffre de prière,የጸሎት ካዝናዎን ያዘጋጁ
vaultSetupIntro,"Choose a passphrase to encrypt your private prayers end-to-end. We never see it — if you forget it, only your recovery code can restore access.","Choisissez une phrase secrète pour chiffrer vos prières privées de bout en bout. Nous ne la voyons jamais — si vous l’oubliez, seul votre code de récupération peut rétablir l’accès.",የግል ጸሎቶችዎን ከጫፍ እስከ ጫፍ ለማመስጠር የይለፍ ሐረግ ይምረጡ። እኛ ፈጽሞ አናየውም — ቢረሱት፣ መዳረሻን መመለስ የሚችለው የመልሶ ማግኛ ኮድዎ ብቻ ነው።
vaultPassphrase,Passphrase,Phrase secrète,የይለፍ ሐረግ
vaultConfirmPassphrase,Confirm passphrase,Confirmer la phrase secrète,የይለፍ ሐረግ ያረጋግጡ
vaultCreate,Create vault,Créer le coffre,ካዝና ፍጠር
vaultPassTooShort,Use at least 8 characters.,Utilisez au moins 8 caractères.,ቢያንስ 8 ቁምፊዎችን ይጠቀሙ።
vaultPassMismatch,Passphrases don't match.,Les phrases secrètes ne correspondent pas.,የይለፍ ሐረጎቹ አይዛመዱም።
vaultRecoveryTitle,Save your recovery code,Enregistrez votre code de récupération,የመልሶ ማግኛ ኮድዎን ያስቀምጡ
vaultRecoveryIntro,This is the only way to recover your vault if you forget your passphrase. Store it somewhere safe — it won't be shown again.,C’est le seul moyen de récupérer votre coffre si vous oubliez votre phrase secrète. Conservez-le en lieu sûr — il ne sera plus affiché.,የይለፍ ሐረግዎን ቢረሱ ካዝናዎን ለመመለስ ይህ ብቸኛው መንገድ ነው። በአስተማማኝ ቦታ ያስቀምጡት — ዳግመኛ አይታይም።
vaultCopyCode,Copy code,Copier le code,ኮድ ቅዳ
vaultCodeCopied,Recovery code copied,Code de récupération copié,የመልሶ ማግኛ ኮድ ተቀድቷል
vaultRecoverySaved,I've saved my recovery code,J’ai enregistré mon code de récupération,የመልሶ ማግኛ ኮዴን አስቀምጫለሁ
vaultUnlockTitle,Unlock your Prayer Vault,Déverrouiller votre coffre de prière,የጸሎት ካዝናዎን ይክፈቱ
vaultUnlockIntro,Enter your passphrase to read and edit your private prayers.,Saisissez votre phrase secrète pour lire et modifier vos prières privées.,የግል ጸሎቶችዎን ለማንበብና ለማረም የይለፍ ሐረግዎን ያስገቡ።
vaultUnlock,Unlock,Déverrouiller,ክፈት
vaultWrongPass,Incorrect passphrase.,Phrase secrète incorrecte.,የተሳሳተ የይለፍ ሐረግ።
vaultForgot,Forgot your passphrase?,Phrase secrète oubliée ?,የይለፍ ሐረግዎን ረሱ?
vaultResetTitle,Reset with recovery code,Réinitialiser avec le code de récupération,በመልሶ ማግኛ ኮድ ዳግም አስጀምር
vaultResetIntro,Enter your recovery code and choose a new passphrase.,Saisissez votre code de récupération et choisissez une nouvelle phrase secrète.,የመልሶ ማግኛ ኮድዎን ያስገቡና አዲስ የይለፍ ሐረግ ይምረጡ።
vaultRecoveryCode,Recovery code,Code de récupération,የመልሶ ማግኛ ኮድ
vaultNewPassphrase,New passphrase,Nouvelle phrase secrète,አዲስ የይለፍ ሐረግ
vaultReset,Reset passphrase,Réinitialiser la phrase secrète,የይለፍ ሐረግ ዳግም አስጀምር
vaultWrongCode,Invalid recovery code.,Code de récupération invalide.,ልክ ያልሆነ የመልሶ ማግኛ ኮድ።
vaultLockNow,Lock,Verrouiller,ቆልፍ
vaultChangePass,Change,Modifier,ቀይር
vaultChangeTitle,Change passphrase,Modifier la phrase secrète,የይለፍ ሐረግ ቀይር
vaultCurrentPassphrase,Current passphrase,Phrase secrète actuelle,የአሁኑ የይለፍ ሐረግ
vaultChangeSave,Save passphrase,Enregistrer la phrase secrète,የይለፍ ሐረግ አስቀምጥ
vaultUnlockedToast,Vault unlocked,Coffre déverrouillé,ካዝና ተከፍቷል
vaultLockedToast,Vault locked,Coffre verrouillé,ካዝና ተቆልፏል
vaultChangedToast,Passphrase changed,Phrase secrète modifiée,የይለፍ ሐረግ ተቀይሯል
vaultResetDoneToast,Passphrase reset,Phrase secrète réinitialisée,የይለፍ ሐረግ ዳግም ተጀምሯል
vaultRotateCode,Rotate recovery code,Renouveler le code de récupération,የመልሶ ማግኛ ኮድ አድስ
vaultRotateTitle,Rotate recovery code,Renouveler le code de récupération,የመልሶ ማግኛ ኮድ አድስ
vaultRotateIntro,This generates a new recovery code and invalidates the old one. Your passphrase and encrypted prayers stay unchanged.,Cela génère un nouveau code de récupération et invalide l’ancien. Votre phrase secrète et vos prières chiffrées restent inchangées.,ይህ አዲስ የመልሶ ማግኛ ኮድ ይፈጥራል አሮጌውንም ያቦዝናል። የይለፍ ሐረግዎ እና የተመሰጠሩ ጸሎቶችዎ ሳይለወጡ ይቆያሉ።
vaultRotateGenerate,Generate new code,Générer un nouveau code,አዲስ ኮድ ፍጠር
vaultMigratePending,Some prayers created before the vault aren't encrypted yet ({count}).,Certaines prières créées avant le coffre ne sont pas encore chiffrées ({count}).,ከካዝናው በፊት የተፈጠሩ አንዳንድ ጸሎቶች ገና አልተመሰጠሩም ({count})።
vaultMigrateNow,Encrypt them now,Les chiffrer maintenant,አሁን አመስጥር
vaultMigrating,Encrypting…,Chiffrement…,በማመስጠር ላይ…
vaultMigrateDone,Your prayers are now encrypted,Vos prières sont maintenant chiffrées,ጸሎቶችዎ አሁን ተመስጥረዋል
vaultMigratePartial,Some prayers couldn't be encrypted. Please try again.,Certaines prières n'ont pas pu être chiffrées. Veuillez réessayer.,አንዳንድ ጸሎቶችን ማመስጠር አልተቻለም። እባክዎ እንደገና ይሞክሩ።
vaultAllProtected,All your private prayers are encrypted.,Toutes vos prières privées sont chiffrées.,ሁሉም የግል ጸሎቶችዎ ተመስጥረዋል።
today,Today,Aujourd'hui,ዛሬ
prayers,Prayers,Prières,ጸሎቶች
journal,Journal,Journal,መዝገብ
plan,Plan,Plan,እቅድ
settings,Settings,Paramètres,ቅንብሮች
settingsSecAccount,Account & privacy,Compte et confidentialité,መለያ እና ግላዊነት
settingsSecAppearance,Appearance & language,Apparence et langue,መልክ እና ቋንቋ
settingsSecData,Data & advanced,Données et options avancées,ውሂብ እና የላቀ
settingsSecSupport,Support & feedback,Assistance et retours,ድጋፍ እና አስተያየት
remindersTitle,Reminders,Rappels,አስታዋሾች
verseOfDay,Verse of the day,Verset du jour,የዛሬ ቃል
tapToReadVerse,Tap to read today's verse,Touchez pour lire le verset du jour,የዛሬን ቃል ለማንበብ ይንኩ
vaultLockedHeading,Your Prayer Vault is locked,Votre coffre de prière est verrouillé,የጸሎት ማከማቻዎ ተቆልፏል
vaultLockedBody,Your private prayers are end-to-end encrypted. Enter your passphrase to unlock them on this device.,Vos prières privées sont chiffrées de bout en bout. Saisissez votre phrase secrète pour les déverrouiller sur cet appareil.,የግል ጸሎቶችዎ ከጫፍ እስከ ጫፍ የተመሰጠሩ ናቸው። በዚህ መሣሪያ ላይ ለመክፈት የይለፍ ሐረግዎን ያስገቡ።
vaultLockedReassure,Not even we can read them — only your passphrase opens the vault. Forgot it? Recover with your code below.,Même nous ne pouvons pas les lire — seule votre phrase secrète ouvre le coffre. Oubliée ? Récupérez-le avec votre code ci-dessous.,እኛም እንኳ ማንበብ አንችልም — ማከማቻውን የሚከፍተው የይለፍ ሐረግዎ ብቻ ነው። ረሱት? ከታች ባለው የመልሶ ማግኛ ኮድዎ ይመልሱት።
vaultLockedSignedInAs,Signed in as {email},Connecté en tant que {email},እንደ {email} ገብተዋል
contentLocked,Unavailable on this device,Indisponible sur cet appareil,በዚህ መሣሪያ ላይ አይገኝም
contentLockedHint,"This prayer is end-to-end encrypted and can't be opened with this device's key. Open it where you first created it, or set up recovery to read it here.","Cette prière est chiffrée de bout en bout et ne peut pas être ouverte avec la clé de cet appareil. Ouvrez-la là où vous l'avez créée, ou configurez la récupération pour la lire ici.",ይህ ጸሎት ከጫፍ እስከ ጫፍ የተመሰጠረ ሲሆን በዚህ መሣሪያ ቁልፍ ሊከፈት አይችልም። በፈጠሩበት ቦታ ይክፈቱት፣ ወይም እዚህ ለማንበብ መልሶ ማግኛን ያዋቅሩ።
keyMissingHeading,We can't unlock your prayers here,Impossible de déverrouiller vos prières ici,ጸሎቶችዎን እዚህ መክፈት አልቻልንም
keyMissingBody,"Your prayers are end-to-end encrypted with a key that isn't on this device, and no recovery code was set up. If you still have the device or browser where you created them, open Praystead there and set up recovery to bring them here.","Vos prières sont chiffrées de bout en bout avec une clé qui n'est pas sur cet appareil, et aucun code de récupération n'a été configuré. Si vous avez encore l'appareil ou le navigateur sur lequel vous les avez créées, ouvrez-y Praystead et configurez la récupération pour les retrouver ici.",ጸሎቶችዎ በዚህ መሣሪያ ላይ በሌለ ቁልፍ ከጫፍ እስከ ጫፍ የተመሰጠሩ ናቸው፣ እና ምንም የመልሶ ማግኛ ኮድ አልተዋቀረም። የፈጠሩበት መሣሪያ ወይም አሳሽ አሁንም ካለዎት፣ Praysteadን እዚያ ይክፈቱ እና እዚህ ለማምጣት መልሶ ማግኛን ያዋቅሩ።
keyMissingReassure,Not even we can read your prayers — that's why only your device's key or your recovery code can open them.,Même nous ne pouvons pas lire vos prières — c'est pourquoi seule la clé de votre appareil ou votre code de récupération peut les ouvrir.,እኛም እንኳ ጸሎቶችዎን ማንበብ አንችልም — ለዚህ ነው የመሣሪያዎ ቁልፍ ወይም የመልሶ ማግኛ ኮድዎ ብቻ ሊከፍታቸው የሚችለው።
keyMissingRetry,I'll use my original device,J'utiliserai mon appareil d'origine,የመጀመሪያ መሣሪያዬን እጠቀማለሁ
keyMissingStartFresh,Start fresh on this device,Repartir de zéro sur cet appareil,በዚህ መሣሪያ ላይ አዲስ ጀምር
keyMissingStartFreshTitle,Start fresh on this device?,Repartir de zéro sur cet appareil ?,በዚህ መሣሪያ ላይ አዲስ ይጀመር?
keyMissingStartFreshWarn,Your previous encrypted prayers will stay locked and can't be recovered. New prayers will be encrypted with a new key on this device.,Vos anciennes prières chiffrées resteront verrouillées et ne pourront pas être récupérées. Les nouvelles prières seront chiffrées avec une nouvelle clé sur cet appareil.,ቀደም ሲል የተመሰጠሩ ጸሎቶችዎ ተቆልፈው ይቆያሉ እና ሊመለሱ አይችሉም። አዲስ ጸሎቶች በዚህ መሣሪያ ላይ በአዲስ ቁልፍ ይመሰጠራሉ።
keyMissingStartFreshConfirm,Start fresh,Repartir de zéro,አዲስ ጀምር
backupKeyTitle,Back up your encryption key,Sauvegardez votre clé de chiffrement,የምስጠራ ቁልፍዎን ያስቀምጡ
