key,en,fr,tl
pwaInstallBody,Open today's prayers in one tap and keep the app available when your connection is unsteady.,Ouvrez les prières du jour en un geste et gardez l’application disponible même avec une connexion instable.,Buksan ang mga panalangin ngayon sa isang tap at gamitin ang app kahit mahina ang koneksyon.
pwaInstallCta,Install Praystead,Installer Praystead,I-install ang Praystead
pwaInstallLater,Not now,Pas maintenant,Hindi muna
pwaIosTitle,Add Praystead to your Home Screen,Ajouter Praystead à l’écran d’accueil,Idagdag ang Praystead sa Home Screen
pwaIosBody,"In your browser, tap Share, then choose Add to Home Screen.","Dans votre navigateur, touchez Partager, puis Ajouter à l’écran d’accueil.","Sa browser, i-tap ang Share, pagkatapos piliin ang Add to Home Screen."
pwaIosAddAction,Add to Home Screen,Ajouter à l’écran d’accueil,Idagdag sa Home Screen
authLogIn,Log in,Se connecter,Mag-log in
authSignUp,Sign up,S'inscrire,Mag-sign up
authCreateAccount,Create account,Créer un compte,Gumawa ng account
authContinueGoogle,Continue with Google,Continuer avec Google,Magpatuloy gamit ang Google
authOr,or,ou,o
authNamePlaceholder,Display name (optional),Nom d'affichage (facultatif),Pangalang ipapakita (opsyonal)
authEmail,Email,Email,Email
authPassword,Password,Mot de passe,Password
authForgotPassword,Forgot password?,Mot de passe oublié ?,Nakalimutan ang password?
authResend,Resend confirmation email,Renvoyer l'email de confirmation,Ipadalang muli ang confirmation email
authBackHome,Back to home,Retour à l'accueil,Bumalik sa home
authBackToLogin,Back to log in,Retour à la connexion,Bumalik sa pag-log in
authResetTitle,Reset your password,Réinitialiser le mot de passe,I-reset ang iyong password
authResetIntro,Enter your email and we'll send you a link to reset your password.,Entrez votre email et nous vous enverrons un lien pour réinitialiser votre mot de passe.,Ilagay ang iyong email at magpapadala kami ng link para i-reset ang iyong password.
authResetSend,Send reset link,Envoyer le lien,Ipadala ang link
authConfirmSent,Check your email to confirm your account.,Vérifiez votre email pour confirmer votre compte.,Tingnan ang iyong email para kumpirmahin ang iyong account.
authResendDone,Confirmation email sent — check your inbox.,Email de confirmation renvoyé — vérifiez votre boîte de réception.,Naipadala ang confirmation email — tingnan ang iyong inbox.
authResetSent,"If an account exists for that email, we've sent a reset link.","Si un compte existe pour cet email, nous avons envoyé un lien de réinitialisation.","Kung may account para sa email na iyon, nagpadala kami ng reset link."
authPrivacyNote,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,Ang iyong mga panalangin ay pribado at ligtas 🔒
authTagline,"""Pray without ceasing"" — 1 Thess. 5:17",« Priez sans cesse » — 1 Thess. 5:17,"""Manalangin nang walang patid"" — 1 Tes. 5:17"
authErrInvalid,"Email or password is incorrect. Try again, or reset your password.",Email ou mot de passe incorrect. Réessayez ou réinitialisez votre mot de passe.,"Mali ang email o password. Subukang muli, o i-reset ang iyong password."
authErrUnconfirmed,Please confirm your email first — you can resend the confirmation email below.,Veuillez d'abord confirmer votre email — vous pouvez renvoyer l'email de confirmation ci-dessous.,Kumpirmahin muna ang iyong email — maaari mong ipadalang muli ang confirmation email sa ibaba.
authErrInUse,An account already exists with this email. Try logging in instead.,Un compte existe déjà avec cet email. Essayez plutôt de vous connecter.,May account na para sa email na ito. Subukang mag-log in na lang.
authErrWeakPass,Choose a password with at least 6 characters.,Choisissez un mot de passe d'au moins 6 caractères.,Pumili ng password na hindi bababa sa 6 na karakter.
authErrEmail,That email address doesn't look right.,Cette adresse email ne semble pas valide.,Mukhang hindi wasto ang email address na iyan.
authErrRate,Too many attempts. Please wait a moment and try again.,Trop de tentatives. Patientez un instant avant de réessayer.,Masyadong maraming pagsubok. Maghintay saglit at subukang muli.
savedOnToday,Your prayer is now on Today.,Votre prière est maintenant dans Aujourd'hui.,"Ang iyong panalangin ay nasa ""Ngayon"" na."
setReminderCta,Set a reminder,Définir un rappel,Magtakda ng paalala
personNamePlaceholder,First and last name,Prénom et nom,Buong pangalan
providerEmail,Email / Password,Email / Mot de passe,Email / Password
markAllRead,Mark all as read,Tout marquer comme lu,Markahang lahat bilang nabasa na
loadMore,Load more,Voir plus,Mag-load pa
seeAllNotifications,See all notifications,Voir toutes les notifications,Tingnan ang lahat ng abiso
notifEmpty,No notifications yet,Aucune notification pour l'instant,Wala pang abiso
notifEmptySub,Updates from your groups and friends will appear here.,Les nouveautés de vos groupes et amis apparaîtront ici.,Lalabas dito ang mga update mula sa iyong mga grupo at kaibigan.
notifError,Couldn't load notifications.,Impossible de charger les notifications.,Hindi ma-load ang mga abiso.
notifUnreadLabel,Inbox ({n} unread),Boîte de réception ({n} non lues),Inbox ({n} hindi pa nababasa)
notifFriendRequest,You have a new friend request,Vous avez une nouvelle demande d'ami,May bago kang friend request
notifGroupInvitation,You've been invited to a prayer group,Vous avez été invité à un groupe de prière,Inimbitahan ka sa isang prayer group
notifCommunityUpdate,There's an update on a prayer you follow,Il y a une mise à jour sur une prière que vous suivez,May update sa isang panalanging sinusundan mo
notifAnswered,A prayer you follow was marked answered,Une prière que vous suivez a été marquée exaucée,Isang panalanging sinusundan mo ay minarkahang nasagot
notifReaction,Several people are praying with you,Plusieurs personnes prient avec vous,Ilang tao ang nananalangin kasama mo
notifGroupPrayerAdded,A new prayer was shared in your group,Une nouvelle prière a été partagée dans votre groupe,May bagong panalanging ibinahagi sa iyong grupo
notifTestimony,A testimony was shared in your group,Un témoignage a été partagé dans votre groupe,May testimonyang ibinahagi sa iyong grupo
notifMembership,You were added to a prayer group,Vous avez été ajouté à un groupe de prière,Idinagdag ka sa isang prayer group
notifRoleChange,Your role in a group has changed,Votre rôle dans un groupe a changé,Nagbago ang iyong tungkulin sa isang grupo
notifGeneric,You have a new notification,Vous avez une nouvelle notification,May bago kang abiso
notifPrefsTitle,Community notifications,Notifications de la communauté,Mga abiso ng komunidad
notifPrefsSub,Choose what you're notified about and how.,Choisissez ce dont vous êtes notifié et comment.,Piliin kung tungkol saan at paano ka aabisuhan.
notifInApp,In-app notifications,Notifications dans l'app,Mga abiso sa app
notifInAppSub,Show notifications in the app inbox.,Afficher les notifications dans la boîte de réception.,Ipakita ang mga abiso sa inbox ng app.
notifPush,Push notifications,Notifications push,Push na mga abiso
notifPushSub,Send notifications to this device even when the app is closed.,Envoyer des notifications à cet appareil même quand l'app est fermée.,Magpadala ng abiso sa device na ito kahit sarado ang app.
quietHours,Quiet hours,Heures silencieuses,Tahimik na oras
quietHoursSub,Pause push during these hours. In-app notifications still arrive.,Suspendre les push pendant ces heures. Les notifications dans l'app arrivent quand même.,I-pause ang push sa mga oras na ito. Dumarating pa rin ang mga abiso sa app.
quietFrom,From,De,Mula
quietTo,To,À,Hanggang
timezone,Time zone,Fuseau horaire,Time zone
notifByType,By notification type,Par type de notification,Ayon sa uri ng abiso
modeImmediate,Immediate,Immédiat,Agad
modeDigest,Digest,Résumé,Buod
modeOff,Off,Désactivé,Naka-off
followPrayer,Follow,Suivre,Sundan
following,Following,Suivi,Sinusundan
followingPrayer,You'll be notified about this prayer,Vous serez notifié pour cette prière,Aabisuhan ka tungkol sa panalanging ito
unfollowedPrayer,You unfollowed this prayer,Vous ne suivez plus cette prière,Hindi mo na sinusundan ang panalanging ito
prayTogether,Pray together,Prier ensemble,Manalangin nang sama-sama
beFirstToPray,Be the first to pray,Soyez le premier à prier,Maging una sa pananalangin
andNMore,and {n} more,et {n} de plus,at {n} pa
testNotifBody,Here are today's prayers. Take a moment to pray 🙏,Voici vos prières du jour. Prenez un moment pour prier 🙏,Narito ang iyong mga panalangin ngayon. Maglaan ng sandali upang manalangin 🙏
addThanks,Add a word of thanks,Ajouter un mot de reconnaissance,Magdagdag ng salita ng pasasalamat
thanksSaved,Your thanks is recorded 🙏,Votre reconnaissance est enregistrée 🙏,Naitala ang iyong pasasalamat 🙏
thanksPrompt,Pause and thank God for His answer,Prenez un instant pour remercier Dieu de sa réponse,Huminto at magpasalamat sa Diyos sa Kanyang sagot
answeredThisMonth,This month,Ce mois-ci,Ngayong buwan
answeredEarlier,Earlier,Auparavant,Mas maaga
vaultTitle,Prayer Vault,Coffre de prière,Vault ng Panalangin
vaultManageSub,Encrypt your private prayers with a passphrase only you know.,Chiffrez vos prières privées avec une phrase secrète que vous seul connaissez.,I-encrypt ang iyong mga pribadong panalangin gamit ang passphrase na ikaw lang ang nakakaalam.
vaultStatusLocked,Locked,Verrouillé,Naka-lock
vaultStatusUnlocked,Unlocked,Déverrouillé,Naka-unlock
vaultSetup,Set up vault,Configurer le coffre,I-set up ang vault
vaultSetupTitle,Set up your Prayer Vault,Configurer votre coffre de prière,I-set up ang iyong Vault ng Panalangin
vaultSetupIntro,"Choose a passphrase to encrypt your private prayers end-to-end. We never see it — if you forget it, only your recovery code can restore access.","Choisissez une phrase secrète pour chiffrer vos prières privées de bout en bout. Nous ne la voyons jamais — si vous l’oubliez, seul votre code de récupération peut rétablir l’accès.","Pumili ng passphrase upang i-encrypt nang end-to-end ang iyong mga pribadong panalangin. Hindi namin ito nakikita — kapag nakalimutan mo ito, ang iyong recovery code lang ang makakapagbalik ng access."
vaultPassphrase,Passphrase,Phrase secrète,Passphrase
vaultConfirmPassphrase,Confirm passphrase,Confirmer la phrase secrète,Kumpirmahin ang passphrase
vaultCreate,Create vault,Créer le coffre,Gumawa ng vault
vaultPassTooShort,Use at least 8 characters.,Utilisez au moins 8 caractères.,Gumamit ng hindi bababa sa 8 character.
vaultPassMismatch,Passphrases don't match.,Les phrases secrètes ne correspondent pas.,Hindi magkatugma ang mga passphrase.
vaultRecoveryTitle,Save your recovery code,Enregistrez votre code de récupération,I-save ang iyong recovery code
vaultRecoveryIntro,This is the only way to recover your vault if you forget your passphrase. Store it somewhere safe — it won't be shown again.,C’est le seul moyen de récupérer votre coffre si vous oubliez votre phrase secrète. Conservez-le en lieu sûr — il ne sera plus affiché.,Ito lang ang paraan para mabawi ang iyong vault kung makalimutan mo ang passphrase. Itago ito sa ligtas na lugar — hindi na ito ipapakita ulit.
vaultCopyCode,Copy code,Copier le code,Kopyahin ang code
vaultCodeCopied,Recovery code copied,Code de récupération copié,Nakopya ang recovery code
vaultRecoverySaved,I've saved my recovery code,J’ai enregistré mon code de récupération,Na-save ko na ang aking recovery code
vaultUnlockTitle,Unlock your Prayer Vault,Déverrouiller votre coffre de prière,I-unlock ang iyong Vault ng Panalangin
vaultUnlockIntro,Enter your passphrase to read and edit your private prayers.,Saisissez votre phrase secrète pour lire et modifier vos prières privées.,Ilagay ang iyong passphrase para basahin at i-edit ang iyong mga pribadong panalangin.
vaultUnlock,Unlock,Déverrouiller,I-unlock
vaultWrongPass,Incorrect passphrase.,Phrase secrète incorrecte.,Maling passphrase.
vaultForgot,Forgot your passphrase?,Phrase secrète oubliée ?,Nakalimutan ang passphrase?
vaultResetTitle,Reset with recovery code,Réinitialiser avec le code de récupération,I-reset gamit ang recovery code
vaultResetIntro,Enter your recovery code and choose a new passphrase.,Saisissez votre code de récupération et choisissez une nouvelle phrase secrète.,Ilagay ang iyong recovery code at pumili ng bagong passphrase.
vaultRecoveryCode,Recovery code,Code de récupération,Recovery code
vaultNewPassphrase,New passphrase,Nouvelle phrase secrète,Bagong passphrase
vaultReset,Reset passphrase,Réinitialiser la phrase secrète,I-reset ang passphrase
vaultWrongCode,Invalid recovery code.,Code de récupération invalide.,Di-wastong recovery code.
vaultLockNow,Lock,Verrouiller,I-lock
vaultChangePass,Change,Modifier,Palitan
vaultChangeTitle,Change passphrase,Modifier la phrase secrète,Palitan ang passphrase
vaultCurrentPassphrase,Current passphrase,Phrase secrète actuelle,Kasalukuyang passphrase
vaultChangeSave,Save passphrase,Enregistrer la phrase secrète,I-save ang passphrase
vaultUnlockedToast,Vault unlocked,Coffre déverrouillé,Na-unlock ang vault
vaultLockedToast,Vault locked,Coffre verrouillé,Na-lock ang vault
vaultChangedToast,Passphrase changed,Phrase secrète modifiée,Napalitan ang passphrase
vaultResetDoneToast,Passphrase reset,Phrase secrète réinitialisée,Na-reset ang passphrase
vaultRotateCode,Rotate recovery code,Renouveler le code de récupération,Palitan ang recovery code
vaultRotateTitle,Rotate recovery code,Renouveler le code de récupération,Palitan ang recovery code
vaultRotateIntro,This generates a new recovery code and invalidates the old one. Your passphrase and encrypted prayers stay unchanged.,Cela génère un nouveau code de récupération et invalide l’ancien. Votre phrase secrète et vos prières chiffrées restent inchangées.,Bubuo ito ng bagong recovery code at gagawing hindi na gumagana ang luma. Hindi magbabago ang iyong passphrase at mga naka-encrypt na panalangin.
vaultRotateGenerate,Generate new code,Générer un nouveau code,Bumuo ng bagong code
vaultMigratePending,Some prayers created before the vault aren't encrypted yet ({count}).,Certaines prières créées avant le coffre ne sont pas encore chiffrées ({count}).,May ilang panalangin na ginawa bago ang vault na hindi pa naka-encrypt ({count}).
vaultMigrateNow,Encrypt them now,Les chiffrer maintenant,I-encrypt na ngayon
vaultMigrating,Encrypting…,Chiffrement…,Ine-encrypt…
vaultMigrateDone,Your prayers are now encrypted,Vos prières sont maintenant chiffrées,Naka-encrypt na ang iyong mga panalangin
vaultMigratePartial,Some prayers couldn't be encrypted. Please try again.,Certaines prières n'ont pas pu être chiffrées. Veuillez réessayer.,May ilang panalangin na hindi na-encrypt. Pakisubukan muli.
vaultAllProtected,All your private prayers are encrypted.,Toutes vos prières privées sont chiffrées.,Lahat ng iyong pribadong panalangin ay naka-encrypt.
today,Today,Aujourd'hui,Ngayon
prayers,Prayers,Prières,Mga Panalangin
journal,Journal,Journal,Talaan
plan,Plan,Plan,Plano
settings,Settings,Paramètres,Mga Setting
settingsSecAccount,Account & privacy,Compte et confidentialité,Account at privacy
settingsSecAppearance,Appearance & language,Apparence et langue,Anyo at wika
settingsSecData,Data & advanced,Données et options avancées,Data at advanced
settingsSecSupport,Support & feedback,Assistance et retours,Suporta at feedback
remindersTitle,Reminders,Rappels,Mga paalala
verseOfDay,Verse of the day,Verset du jour,Talata ngayon
tapToReadVerse,Tap to read today's verse,Touchez pour lire le verset du jour,I-tap para basahin ang talata ngayon
vaultLockedHeading,Your Prayer Vault is locked,Votre coffre de prière est verrouillé,Naka-lock ang iyong Prayer Vault
vaultLockedBody,Your private prayers are end-to-end encrypted. Enter your passphrase to unlock them on this device.,Vos prières privées sont chiffrées de bout en bout. Saisissez votre phrase secrète pour les déverrouiller sur cet appareil.,Ang iyong mga pribadong panalangin ay end-to-end na naka-encrypt. Ilagay ang iyong passphrase para i-unlock ang mga ito sa device na ito.
vaultLockedReassure,Not even we can read them — only your passphrase opens the vault. Forgot it? Recover with your code below.,Même nous ne pouvons pas les lire — seule votre phrase secrète ouvre le coffre. Oubliée ? Récupérez-le avec votre code ci-dessous.,Kahit kami ay hindi makakabasa nito — ang iyong passphrase lang ang makakapagbukas ng vault. Nakalimutan? Bawiin gamit ang iyong recovery code sa ibaba.
vaultLockedSignedInAs,Signed in as {email},Connecté en tant que {email},Naka-sign in bilang {email}
contentLocked,Unavailable on this device,Indisponible sur cet appareil,Hindi available sa device na ito
contentLockedHint,"This prayer is end-to-end encrypted and can't be opened with this device's key. Open it where you first created it, or set up recovery to read it here.","Cette prière est chiffrée de bout en bout et ne peut pas être ouverte avec la clé de cet appareil. Ouvrez-la là où vous l'avez créée, ou configurez la récupération pour la lire ici.","Ang panalanging ito ay end-to-end encrypted at hindi mabubuksan gamit ang susi ng device na ito. Buksan ito kung saan mo ito ginawa, o mag-set up ng recovery para mabasa ito rito."
keyMissingHeading,We can't unlock your prayers here,Impossible de déverrouiller vos prières ici,Hindi namin ma-unlock ang iyong mga panalangin dito
keyMissingBody,"Your prayers are end-to-end encrypted with a key that isn't on this device, and no recovery code was set up. If you still have the device or browser where you created them, open Praystead there and set up recovery to bring them here.","Vos prières sont chiffrées de bout en bout avec une clé qui n'est pas sur cet appareil, et aucun code de récupération n'a été configuré. Si vous avez encore l'appareil ou le navigateur sur lequel vous les avez créées, ouvrez-y Praystead et configurez la récupération pour les retrouver ici.","Ang iyong mga panalangin ay end-to-end encrypted gamit ang susing wala sa device na ito, at walang recovery code na na-set up. Kung nasa iyo pa rin ang device o browser kung saan mo ginawa ang mga ito, buksan ang Praystead doon at mag-set up ng recovery para madala ang mga ito rito."
keyMissingReassure,Not even we can read your prayers — that's why only your device's key or your recovery code can open them.,Même nous ne pouvons pas lire vos prières — c'est pourquoi seule la clé de votre appareil ou votre code de récupération peut les ouvrir.,Kahit kami ay hindi mababasa ang iyong mga panalangin — kaya naman ang susi lamang ng iyong device o ang iyong recovery code ang makakabukas sa mga ito.
keyMissingRetry,I'll use my original device,J'utiliserai mon appareil d'origine,Gagamitin ko ang orihinal kong device
keyMissingStartFresh,Start fresh on this device,Repartir de zéro sur cet appareil,Magsimula muli sa device na ito
keyMissingStartFreshTitle,Start fresh on this device?,Repartir de zéro sur cet appareil ?,Magsimula muli sa device na ito?
keyMissingStartFreshWarn,Your previous encrypted prayers will stay locked and can't be recovered. New prayers will be encrypted with a new key on this device.,Vos anciennes prières chiffrées resteront verrouillées et ne pourront pas être récupérées. Les nouvelles prières seront chiffrées avec une nouvelle clé sur cet appareil.,Mananatiling naka-lock ang iyong dating naka-encrypt na mga panalangin at hindi na mababawi. Ang mga bagong panalangin ay ie-encrypt gamit ang bagong susi sa device na ito.
keyMissingStartFreshConfirm,Start fresh,Repartir de zéro,Magsimula muli
backupKeyTitle,Back up your encryption key,Sauvegardez votre clé de chiffrement,I-back up ang iyong encryption key
backupKeyBody,Your prayers are encrypted with a key kept only on this device. Set up recovery so you don't lose access if you switch browsers or clear your data.,Vos prières sont chiffrées avec une clé conservée uniquement sur cet appareil. Configurez la récupération pour ne pas perdre l'accès si vous changez de navigateur ou effacez vos données.,Ang iyong mga panalangin ay naka-encrypt gamit ang susing nasa device na ito lang. Mag-set up ng recovery para hindi mawala ang access mo kapag nagpalit ka ng browser o nag-clear ng data.
backupKeyCta,Set up recovery,Configurer la récupération,Mag-set up ng recovery
backupKeyDismiss,Not now,Plus tard,Hindi muna
backupKeyWarn,"Without a backup, no one — not even we — can recover your prayers.","Sans sauvegarde, personne — pas même nous — ne peut récupérer tes prières.","Kung walang backup, walang sinuman — kahit kami — ang makakabawi ng iyong mga panalangin."
backupKeyDismissForever,Don't show again,Ne plus afficher,Huwag nang ipakita
activePrayers,Active,Actives,Aktibo
answeredPrayers,Answered,Exaucées,Nasagot
todaysPrayers,Today's prayers,Prières d'aujourd'hui,Mga panalangin ngayon
subjects,subjects,sujets,paksa
noPrayersToday,No prayers scheduled for today,Aucune prière planifiée pour aujourd'hui,Walang panalangin na nakatakda ngayon
noPrayersSub,Add prayers or set up your weekly plan,Ajoutez des prières ou configurez votre plan,Magdagdag ng mga panalangin o itakda ang iyong lingguhang plano
greetingMorning,Good morning,Bonjour,Magandang umaga
greetingAfternoon,Good afternoon,Bon après-midi,Magandang tanghali
greetingEvening,Good evening,Bonsoir,Magandang gabi
search,Search...,Rechercher...,Hanapin...
all,All,Toutes,Lahat
active,Active,Actives,Aktibo
answered,Answered,Exaucées,Nasagot
allCategories,All categories,Toutes catégories,Lahat ng kategorya
noPrayersFound,No prayers found,Aucune prière trouvée,Walang nahanap na panalangin
noPrayersFoundSub,Add your first prayer with the + button,Ajoutez votre première prière avec le bouton +,Idagdag ang iyong unang panalangin gamit ang + button
prayer,prayer,prière,panalangin
prayers2,prayers,prières,mga panalangin
active2,Active,Actif,Aktibo
answered2,Answered ✓,Exaucé ✓,Nasagot ✓
noUpdate,No updates yet,Aucune évolution,Walang update
newUpdate,New update...,Nouvelle évolution...,Bagong update...
evolutions,Updates,Évolutions,Mga update
aiSubjects,Prayer Points,Points de Prière,Mga Punto ng Panalangin
aiSuggest,Receive suggestions...,Recevoir des suggestions...,Tumanggap ng mga mungkahi...
aiPlaceholder,Tap to receive suggestions...,Appuyez pour recevoir des suggestions...,I-tap para makatanggap ng mga mungkahi...
aiConsentTitle,AI Feature,Fonctionnalité IA,Tampok ng AI
aiConsentNoticePrayer,What we send: your prayer title and last update. Nothing else.,Ce que nous envoyons : le titre et la dernière mise à jour de votre prière. Rien d'autre.,Ano ang ipinapadala namin: ang pamagat ng iyong panalangin at ang pinakabagong update. Wala nang iba.
aiConsentBodyPrayer,"To generate prayer points and verse suggestions, we send your prayer title and last update to Claude AI (Anthropic). This data is not stored by Anthropic beyond the API call.","Pour générer des points de prière et suggestions de versets, nous envoyons le titre et la dernière mise à jour de votre prière à Claude AI (Anthropic). Ces données ne sont pas stockées par Anthropic au-delà de l'appel API.","Para makabuo ng mga punto ng panalangin at mungkahi ng talata, ipinapadala namin ang pamagat at pinakabagong update ng iyong panalangin sa Claude AI (Anthropic). Ang data ay hindi inimbak lampas sa API call."
aiConsentNoticeHome,"What we send: your prayer category names for today (e.g. Family, Health). Nothing else.","Ce que nous envoyons : les noms de vos catégories de prière du jour (ex. Famille, Santé). Rien d'autre.","Ano ang ipinapadala namin: ang mga pangalan ng iyong mga kategorya ng panalangin ngayon (hal. Pamilya, Kalusugan). Wala nang iba."
aiConsentBodyHome,"To suggest prayers for today, we send your day's category names to Claude AI (Anthropic). No personal prayer content is shared.","Pour suggérer des prières pour aujourd'hui, nous envoyons vos catégories du jour à Claude AI (Anthropic). Aucune prière personnelle n'est partagée.","Para magmungkahi ng mga panalangin ngayon, ipinapadala namin ang iyong mga kategorya ng araw sa Claude AI (Anthropic). Walang personal na nilalaman ng panalangin ang ibinabahagi."
aiConsentAccept,I agree,J'accepte,Sumasang-ayon ako
aiConsentDecline,No thanks,Non merci,"Hindi, salamat"
aiConsentFooter,This only applies to AI features. Your prayers remain private.,Ce choix ne s'applique qu'aux fonctionnalités IA. Vos prières restent privées.,Ito ay nalalapat lamang sa mga tampok ng AI. Ang iyong mga panalangin ay nananatiling pribado.
aiAboutTitle,AI assistance,Assistance IA,Tulong ng AI
