key,en,fr,sw
firstPrayerFinishBtn,Finish without saving,Terminer sans enregistrer,Maliza bila kuhifadhi
authSavePrayerTitle,Save your prayer privately,Enregistrez votre prière en privé,Hifadhi ombi lako kwa faragha
authSavePrayerBody,Create a free account to keep this prayer in your journal — only you can ever read it.,Créez un compte gratuit pour garder cette prière dans votre journal — vous seul pourrez la lire.,Fungua akaunti ya bure ili kuweka ombi hili katika shajara yako — ni wewe pekee unayeweza kulisoma.
authSavePrayerCta,Continue to save privately,Continuer pour enregistrer en privé,Endelea ili kuhifadhi kwa faragha
prayerFormat,Prayer format,Format de prière,Muundo wa maombi
prayerMusic,Prayer atmosphere,Ambiance de prière,Mazingira ya maombi
prayerMusicSub,Choose a gentle background for prayer. Silence is always welcome.,Choisissez un fond doux pour la prière. Le silence est toujours le bienvenu.,Chagua mandhari nyororo kwa maombi. Ukimya unakaribishwa daima.
audioSilence,Silence,Silence,Ukimya
audioSoftPiano,Soft piano,Piano doux,Kinanda nyororo
audioAmbientPad,Ambient worship pad,Nappe de louange,Sauti ya kuabudu
audioNature,Rain / nature,Pluie / nature,Mvua / maumbile
audioSoftPad,Soft pad,Nappe douce,Sauti nyororo
prayerFieldLabel,Who or what would you like to pray for?,Pour qui ou pour quoi voulez-vous prier ?,Ungependa kumwombea nani au nini?
addNote,Add a note,Ajouter une note,Ongeza dokezo
organizeLabel,Organize,Organiser,Panga
savePrayer,Save prayer,Enregistrer la prière,Hifadhi ombi
rhythmLabel,How often should this return?,À quelle fréquence revenir ?,Lirudi mara ngapi?
rhythmFlexible,Weekly plan,Plan hebdomadaire,Mpango wa juma
rhythmOccasionally,Occasionally,De temps en temps,Mara chache
rhythmCustom,Custom,Personnalisé,Maalum
doneBtn,Done,Terminé,Imekamilika
moreTab,More,Plus,Zaidi
primaryNav,Primary navigation,Navigation principale,Urambazaji mkuu
navPending,{count} pending,{count} en attente,{count} zinazosubiri
joinGroupCta,Join a group,Rejoindre un groupe,Jiunge na kikundi
joinGroupHint,Paste an invite link or code shared by a group member.,Collez un lien ou un code d'invitation partagé par un membre du groupe.,Bandika kiungo au msimbo wa mwaliko uliopewa na mwanakikundi.
joinGroupPlaceholder,Invite link or code,Lien ou code d'invitation,Kiungo au msimbo wa mwaliko
reminderNudge,Would a gentle reminder tomorrow help?,Un doux rappel demain vous aiderait-il ?,"Je, kikumbusho cha upole kesho kitasaidia?"
activationRhythmTitle,Choose how this prayer returns,Choisissez quand retrouver cette prière,Chagua ombi hili lirudi lini
activationRhythmBody,Every prayer can have its own rhythm. Review when this one should return so it fits your life.,Chaque prière peut avoir son propre rythme. Choisissez quand retrouver celle-ci pour l'adapter à votre quotidien.,Kila ombi linaweza kuwa na mpangilio wake. Kagua lirudi lini ili liendane na maisha yako.
activationRhythmCta,Review rhythm,Voir le rythme,Kagua mpangilio
activationReminderTitle,Would a gentle reminder help?,Un doux rappel vous aiderait-il ?,"Je, kikumbusho cha upole kitasaidia?"
activationReminderBody,Choose a time and Praystead can bring today's prayers back to you.,Choisissez une heure et Praystead pourra vous ramener aux prières du jour.,Chagua muda na Praystead inaweza kukurudishia maombi ya leo.
activationOrganizeTitle,Make a growing journal easier to revisit,Retrouvez plus facilement un journal qui grandit,Rahisisha kurejea shajara inayokua
activationOrganizeBody,Add a person or category to one prayer. More organization appears only when it becomes useful.,Ajoutez une personne ou une catégorie à une prière. L'organisation n'apparaît que lorsqu'elle devient utile.,Ongeza mtu au kategoria kwenye ombi moja. Mpangilio zaidi huonekana pale tu unapokuwa na manufaa.
activationOrganizeCta,Organize a prayer,Organiser une prière,Panga ombi
pwaInstallTitle,Keep Praystead close,Gardez Praystead à portée de main,Weka Praystead karibu
pwaInstallBody,Open today's prayers in one tap and keep the app available when your connection is unsteady.,Ouvrez les prières du jour en un geste et gardez l’application disponible même avec une connexion instable.,Fungua maombi ya leo kwa mguso mmoja na utumie programu hata muunganisho unapokuwa dhaifu.
pwaInstallCta,Install Praystead,Installer Praystead,Sakinisha Praystead
pwaInstallLater,Not now,Pas maintenant,Si sasa
pwaIosTitle,Add Praystead to your Home Screen,Ajouter Praystead à l’écran d’accueil,Ongeza Praystead kwenye Skrini ya Mwanzo
pwaIosBody,"In your browser, tap Share, then choose Add to Home Screen.","Dans votre navigateur, touchez Partager, puis Ajouter à l’écran d’accueil.","Kwenye kivinjari, gusa Shiriki, kisha uchague Ongeza kwenye Skrini ya Mwanzo."
pwaIosAddAction,Add to Home Screen,Ajouter à l’écran d’accueil,Ongeza kwenye Skrini ya Mwanzo
authLogIn,Log in,Se connecter,Ingia
authSignUp,Sign up,S'inscrire,Jisajili
authCreateAccount,Create account,Créer un compte,Fungua akaunti
authContinueGoogle,Continue with Google,Continuer avec Google,Endelea na Google
authOr,or,ou,au
authNamePlaceholder,Display name (optional),Nom d'affichage (facultatif),Jina la kuonyesha (hiari)
authEmail,Email,Email,Barua pepe
authPassword,Password,Mot de passe,Nenosiri
authForgotPassword,Forgot password?,Mot de passe oublié ?,Umesahau nenosiri?
authResend,Resend confirmation email,Renvoyer l'email de confirmation,Tuma tena barua pepe ya uthibitisho
authBackHome,Back to home,Retour à l'accueil,Rudi mwanzo
authBackToLogin,Back to log in,Retour à la connexion,Rudi kuingia
authResetTitle,Reset your password,Réinitialiser le mot de passe,Weka upya nenosiri lako
authResetIntro,Enter your email and we'll send you a link to reset your password.,Entrez votre email et nous vous enverrons un lien pour réinitialiser votre mot de passe.,Weka barua pepe yako nasi tutakutumia kiungo cha kuweka upya nenosiri lako.
authResetSend,Send reset link,Envoyer le lien,Tuma kiungo
authConfirmSent,Check your email to confirm your account.,Vérifiez votre email pour confirmer votre compte.,Angalia barua pepe yako ili kuthibitisha akaunti yako.
authResendDone,Confirmation email sent — check your inbox.,Email de confirmation renvoyé — vérifiez votre boîte de réception.,Barua pepe ya uthibitisho imetumwa — angalia kisanduku chako.
authResetSent,"If an account exists for that email, we've sent a reset link.","Si un compte existe pour cet email, nous avons envoyé un lien de réinitialisation.","Ikiwa akaunti ipo kwa barua pepe hiyo, tumetuma kiungo cha kuweka upya."
authPrivacyNote,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,Maombi yako ni ya faragha na salama 🔒
authTagline,"""Pray without ceasing"" — 1 Thess. 5:17",« Priez sans cesse » — 1 Thess. 5:17,"""Ombeni bila kukoma"" — 1 Wathes. 5:17"
authErrInvalid,"Email or password is incorrect. Try again, or reset your password.",Email ou mot de passe incorrect. Réessayez ou réinitialisez votre mot de passe.,"Barua pepe au nenosiri si sahihi. Jaribu tena, au weka upya nenosiri lako."
authErrUnconfirmed,Please confirm your email first — you can resend the confirmation email below.,Veuillez d'abord confirmer votre email — vous pouvez renvoyer l'email de confirmation ci-dessous.,Tafadhali thibitisha barua pepe yako kwanza — unaweza kutuma tena barua pepe ya uthibitisho hapa chini.
authErrInUse,An account already exists with this email. Try logging in instead.,Un compte existe déjà avec cet email. Essayez plutôt de vous connecter.,Akaunti tayari ipo kwa barua pepe hii. Jaribu kuingia badala yake.
authErrWeakPass,Choose a password with at least 6 characters.,Choisissez un mot de passe d'au moins 6 caractères.,Chagua nenosiri lenye herufi angalau 6.
authErrEmail,That email address doesn't look right.,Cette adresse email ne semble pas valide.,Anwani hii ya barua pepe haionekani sahihi.
authErrRate,Too many attempts. Please wait a moment and try again.,Trop de tentatives. Patientez un instant avant de réessayer.,Majaribio mengi mno. Tafadhali subiri kidogo kisha ujaribu tena.
savedOnToday,Your prayer is now on Today.,Votre prière est maintenant dans Aujourd'hui.,"Ombi lako sasa liko katika ""Leo""."
setReminderCta,Set a reminder,Définir un rappel,Weka kikumbusho
personNamePlaceholder,First and last name,Prénom et nom,Jina kamili
providerEmail,Email / Password,Email / Mot de passe,Barua pepe / Nenosiri
markAllRead,Mark all as read,Tout marquer comme lu,Weka zote kuwa zimesomwa
loadMore,Load more,Voir plus,Pakia zaidi
seeAllNotifications,See all notifications,Voir toutes les notifications,Ona arifa zote
notifEmpty,No notifications yet,Aucune notification pour l'instant,Bado hakuna arifa
notifEmptySub,Updates from your groups and friends will appear here.,Les nouveautés de vos groupes et amis apparaîtront ici.,Habari kutoka vikundi na marafiki zako zitaonekana hapa.
notifError,Couldn't load notifications.,Impossible de charger les notifications.,Imeshindwa kupakia arifa.
notifUnreadLabel,Inbox ({n} unread),Boîte de réception ({n} non lues),Kikasha ({n} hazijasomwa)
notifFriendRequest,You have a new friend request,Vous avez une nouvelle demande d'ami,Una ombi jipya la urafiki
notifGroupInvitation,You've been invited to a prayer group,Vous avez été invité à un groupe de prière,Umealikwa kwenye kikundi cha maombi
notifCommunityUpdate,There's an update on a prayer you follow,Il y a une mise à jour sur une prière que vous suivez,Kuna sasisho kwenye ombi unalofuatilia
notifAnswered,A prayer you follow was marked answered,Une prière que vous suivez a été marquée exaucée,Ombi unalofuatilia limewekwa alama kuwa limejibiwa
notifReaction,Several people are praying with you,Plusieurs personnes prient avec vous,Watu kadhaa wanaomba pamoja nawe
notifGroupPrayerAdded,A new prayer was shared in your group,Une nouvelle prière a été partagée dans votre groupe,Ombi jipya limeshirikiwa katika kikundi chako
notifTestimony,A testimony was shared in your group,Un témoignage a été partagé dans votre groupe,Ushuhuda umeshirikiwa katika kikundi chako
notifMembership,You were added to a prayer group,Vous avez été ajouté à un groupe de prière,Umeongezwa kwenye kikundi cha maombi
notifRoleChange,Your role in a group has changed,Votre rôle dans un groupe a changé,Jukumu lako katika kikundi limebadilika
notifGeneric,You have a new notification,Vous avez une nouvelle notification,Una arifa mpya
notifPrefsTitle,Community notifications,Notifications de la communauté,Arifa za jamii
notifPrefsSub,Choose what you're notified about and how.,Choisissez ce dont vous êtes notifié et comment.,Chagua unachoarifiwa na jinsi gani.
notifInApp,In-app notifications,Notifications dans l'app,Arifa ndani ya programu
notifInAppSub,Show notifications in the app inbox.,Afficher les notifications dans la boîte de réception.,Onyesha arifa kwenye kikasha cha programu.
notifPush,Push notifications,Notifications push,Arifa za push
notifPushSub,Send notifications to this device even when the app is closed.,Envoyer des notifications à cet appareil même quand l'app est fermée.,Tuma arifa kwenye kifaa hiki hata programu ikiwa imefungwa.
quietHours,Quiet hours,Heures silencieuses,Saa za utulivu
quietHoursSub,Pause push during these hours. In-app notifications still arrive.,Suspendre les push pendant ces heures. Les notifications dans l'app arrivent quand même.,Sitisha push katika saa hizi. Arifa za ndani ya programu bado zinafika.
quietFrom,From,De,Kuanzia
quietTo,To,À,Hadi
timezone,Time zone,Fuseau horaire,Saa za eneo
notifByType,By notification type,Par type de notification,Kwa aina ya arifa
modeImmediate,Immediate,Immédiat,Mara moja
modeDigest,Digest,Résumé,Muhtasari
modeOff,Off,Désactivé,Zima
followPrayer,Follow,Suivre,Fuatilia
following,Following,Suivi,Unafuatilia
followingPrayer,You'll be notified about this prayer,Vous serez notifié pour cette prière,Utaarifiwa kuhusu ombi hili
unfollowedPrayer,You unfollowed this prayer,Vous ne suivez plus cette prière,Umeacha kufuatilia ombi hili
prayTogether,Pray together,Prier ensemble,Ombeni pamoja
beFirstToPray,Be the first to pray,Soyez le premier à prier,Kuwa wa kwanza kuomba
andNMore,and {n} more,et {n} de plus,na wengine {n}
testNotifBody,Here are today's prayers. Take a moment to pray 🙏,Voici vos prières du jour. Prenez un moment pour prier 🙏,Hizi ni sala zako za leo. Tumia muda kuomba 🙏
addThanks,Add a word of thanks,Ajouter un mot de reconnaissance,Ongeza neno la shukrani
thanksSaved,Your thanks is recorded 🙏,Votre reconnaissance est enregistrée 🙏,Shukrani yako imerekodiwa 🙏
thanksPrompt,Pause and thank God for His answer,Prenez un instant pour remercier Dieu de sa réponse,Tulia na umshukuru Mungu kwa jibu lake
answeredThisMonth,This month,Ce mois-ci,Mwezi huu
answeredEarlier,Earlier,Auparavant,Awali
vaultTitle,Prayer Vault,Coffre de prière,Sanduku la Maombi
vaultManageSub,Encrypt your private prayers with a passphrase only you know.,Chiffrez vos prières privées avec une phrase secrète que vous seul connaissez.,Simba maombi yako ya faragha kwa neno-siri unalolijua wewe pekee.
vaultStatusLocked,Locked,Verrouillé,Imefungwa
vaultStatusUnlocked,Unlocked,Déverrouillé,Imefunguliwa
vaultSetup,Set up vault,Configurer le coffre,Sanidi sanduku
vaultSetupTitle,Set up your Prayer Vault,Configurer votre coffre de prière,Sanidi Sanduku lako la Maombi
vaultSetupIntro,"Choose a passphrase to encrypt your private prayers end-to-end. We never see it — if you forget it, only your recovery code can restore access.","Choisissez une phrase secrète pour chiffrer vos prières privées de bout en bout. Nous ne la voyons jamais — si vous l’oubliez, seul votre code de récupération peut rétablir l’accès.","Chagua neno-siri ili kusimba maombi yako ya faragha kutoka mwanzo hadi mwisho. Hatuoni kamwe — ukilisahau, ni msimbo wako wa kurejesha pekee unaoweza kurudisha ufikiaji."
vaultPassphrase,Passphrase,Phrase secrète,Neno-siri
vaultConfirmPassphrase,Confirm passphrase,Confirmer la phrase secrète,Thibitisha neno-siri
vaultCreate,Create vault,Créer le coffre,Tengeneza sanduku
vaultPassTooShort,Use at least 8 characters.,Utilisez au moins 8 caractères.,Tumia angalau herufi 8.
vaultPassMismatch,Passphrases don't match.,Les phrases secrètes ne correspondent pas.,Maneno-siri hayalingani.
vaultRecoveryTitle,Save your recovery code,Enregistrez votre code de récupération,Hifadhi msimbo wako wa kurejesha
vaultRecoveryIntro,This is the only way to recover your vault if you forget your passphrase. Store it somewhere safe — it won't be shown again.,C’est le seul moyen de récupérer votre coffre si vous oubliez votre phrase secrète. Conservez-le en lieu sûr — il ne sera plus affiché.,Hii ndiyo njia pekee ya kurejesha sanduku lako ukisahau neno-siri. Lihifadhi mahali salama — hautaonyeshwa tena.
vaultCopyCode,Copy code,Copier le code,Nakili msimbo
vaultCodeCopied,Recovery code copied,Code de récupération copié,Msimbo wa kurejesha umenakiliwa
vaultRecoverySaved,I've saved my recovery code,J’ai enregistré mon code de récupération,Nimehifadhi msimbo wangu wa kurejesha
vaultUnlockTitle,Unlock your Prayer Vault,Déverrouiller votre coffre de prière,Fungua Sanduku lako la Maombi
vaultUnlockIntro,Enter your passphrase to read and edit your private prayers.,Saisissez votre phrase secrète pour lire et modifier vos prières privées.,Weka neno-siri lako ili kusoma na kuhariri maombi yako ya faragha.
vaultUnlock,Unlock,Déverrouiller,Fungua
vaultWrongPass,Incorrect passphrase.,Phrase secrète incorrecte.,Neno-siri si sahihi.
vaultForgot,Forgot your passphrase?,Phrase secrète oubliée ?,Umesahau neno-siri lako?
vaultResetTitle,Reset with recovery code,Réinitialiser avec le code de récupération,Weka upya kwa msimbo wa kurejesha
vaultResetIntro,Enter your recovery code and choose a new passphrase.,Saisissez votre code de récupération et choisissez une nouvelle phrase secrète.,Weka msimbo wako wa kurejesha na uchague neno-siri jipya.
vaultRecoveryCode,Recovery code,Code de récupération,Msimbo wa kurejesha
vaultNewPassphrase,New passphrase,Nouvelle phrase secrète,Neno-siri jipya
vaultReset,Reset passphrase,Réinitialiser la phrase secrète,Weka upya neno-siri
vaultWrongCode,Invalid recovery code.,Code de récupération invalide.,Msimbo wa kurejesha si sahihi.
vaultLockNow,Lock,Verrouiller,Funga
vaultChangePass,Change,Modifier,Badilisha
vaultChangeTitle,Change passphrase,Modifier la phrase secrète,Badilisha neno-siri
vaultCurrentPassphrase,Current passphrase,Phrase secrète actuelle,Neno-siri la sasa
vaultChangeSave,Save passphrase,Enregistrer la phrase secrète,Hifadhi neno-siri
vaultUnlockedToast,Vault unlocked,Coffre déverrouillé,Sanduku limefunguliwa
vaultLockedToast,Vault locked,Coffre verrouillé,Sanduku limefungwa
vaultChangedToast,Passphrase changed,Phrase secrète modifiée,Neno-siri limebadilishwa
vaultResetDoneToast,Passphrase reset,Phrase secrète réinitialisée,Neno-siri limewekwa upya
vaultRotateCode,Rotate recovery code,Renouveler le code de récupération,Badilisha msimbo wa kurejesha
vaultRotateTitle,Rotate recovery code,Renouveler le code de récupération,Badilisha msimbo wa kurejesha
vaultRotateIntro,This generates a new recovery code and invalidates the old one. Your passphrase and encrypted prayers stay unchanged.,Cela génère un nouveau code de récupération et invalide l’ancien. Votre phrase secrète et vos prières chiffrées restent inchangées.,Hii hutengeneza msimbo mpya wa kurejesha na kuubatilisha wa zamani. Neno-siri lako na maombi yaliyosimbwa hubaki bila kubadilika.
vaultRotateGenerate,Generate new code,Générer un nouveau code,Tengeneza msimbo mpya
vaultMigratePending,Some prayers created before the vault aren't encrypted yet ({count}).,Certaines prières créées avant le coffre ne sont pas encore chiffrées ({count}).,Baadhi ya maombi yaliyoundwa kabla ya kasha bado hayajasimbwa ({count}).
vaultMigrateNow,Encrypt them now,Les chiffrer maintenant,Yasimbe sasa
vaultMigrating,Encrypting…,Chiffrement…,Inasimba…
vaultMigrateDone,Your prayers are now encrypted,Vos prières sont maintenant chiffrées,Maombi yako sasa yamesimbwa
vaultMigratePartial,Some prayers couldn't be encrypted. Please try again.,Certaines prières n'ont pas pu être chiffrées. Veuillez réessayer.,Baadhi ya maombi hayakuweza kusimbwa. Tafadhali jaribu tena.
vaultAllProtected,All your private prayers are encrypted.,Toutes vos prières privées sont chiffrées.,Maombi yako yote ya faragha yamesimbwa.
today,Today,Aujourd'hui,Leo
prayers,Prayers,Prières,Maombi
journal,Journal,Journal,Jarida
plan,Plan,Plan,Mpango
settings,Settings,Paramètres,Mipangilio
settingsSecAccount,Account & privacy,Compte et confidentialité,Akaunti na faragha
settingsSecAppearance,Appearance & language,Apparence et langue,Muonekano na lugha
settingsSecData,Data & advanced,Données et options avancées,Data na mipangilio ya juu
settingsSecSupport,Support & feedback,Assistance et retours,Msaada na maoni
remindersTitle,Reminders,Rappels,Vikumbusho
verseOfDay,Verse of the day,Verset du jour,Neno la leo
tapToReadVerse,Tap to read today's verse,Touchez pour lire le verset du jour,Gusa kusoma neno la leo
vaultLockedHeading,Your Prayer Vault is locked,Votre coffre de prière est verrouillé,Kasha lako la Maombi limefungwa
vaultLockedBody,Your private prayers are end-to-end encrypted. Enter your passphrase to unlock them on this device.,Vos prières privées sont chiffrées de bout en bout. Saisissez votre phrase secrète pour les déverrouiller sur cet appareil.,Maombi yako ya faragha yamesimbwa kutoka mwanzo hadi mwisho. Weka kaulisiri yako ili kuyafungua kwenye kifaa hiki.
vaultLockedReassure,Not even we can read them — only your passphrase opens the vault. Forgot it? Recover with your code below.,Même nous ne pouvons pas les lire — seule votre phrase secrète ouvre le coffre. Oubliée ? Récupérez-le avec votre code ci-dessous.,Hata sisi hatuwezi kuyasoma — ni kaulisiri yako pekee inayofungua kasha. Umeisahau? Irejeshe kwa msimbo wako wa kurejesha hapa chini.
vaultLockedSignedInAs,Signed in as {email},Connecté en tant que {email},Umeingia kama {email}
contentLocked,Unavailable on this device,Indisponible sur cet appareil,Haipatikani kwenye kifaa hiki
contentLockedHint,"This prayer is end-to-end encrypted and can't be opened with this device's key. Open it where you first created it, or set up recovery to read it here.","Cette prière est chiffrée de bout en bout et ne peut pas être ouverte avec la clé de cet appareil. Ouvrez-la là où vous l'avez créée, ou configurez la récupération pour la lire ici.","Ombi hili limesimbwa mwanzo-hadi-mwisho na haliwezi kufunguliwa kwa ufunguo wa kifaa hiki. Lifungue pale ulipoliunda, au weka urejeshaji ili kulisoma hapa."
keyMissingHeading,We can't unlock your prayers here,Impossible de déverrouiller vos prières ici,Hatuwezi kufungua maombi yako hapa
keyMissingBody,"Your prayers are end-to-end encrypted with a key that isn't on this device, and no recovery code was set up. If you still have the device or browser where you created them, open Praystead there and set up recovery to bring them here.","Vos prières sont chiffrées de bout en bout avec une clé qui n'est pas sur cet appareil, et aucun code de récupération n'a été configuré. Si vous avez encore l'appareil ou le navigateur sur lequel vous les avez créées, ouvrez-y Praystead et configurez la récupération pour les retrouver ici.","Maombi yako yamesimbwa mwanzo-hadi-mwisho kwa ufunguo ambao haupo kwenye kifaa hiki, na hakuna nambari ya urejeshaji iliyowekwa. Ikiwa bado una kifaa au kivinjari ulichotumia kuyaunda, fungua Praystead hapo na uweke urejeshaji ili kuyaleta hapa."
keyMissingReassure,Not even we can read your prayers — that's why only your device's key or your recovery code can open them.,Même nous ne pouvons pas lire vos prières — c'est pourquoi seule la clé de votre appareil ou votre code de récupération peut les ouvrir.,Hata sisi hatuwezi kusoma maombi yako — ndiyo maana ni ufunguo wa kifaa chako au nambari yako ya urejeshaji tu ndiyo inayoweza kuyafungua.
keyMissingRetry,I'll use my original device,J'utiliserai mon appareil d'origine,Nitatumia kifaa changu cha awali
keyMissingStartFresh,Start fresh on this device,Repartir de zéro sur cet appareil,Anza upya kwenye kifaa hiki
keyMissingStartFreshTitle,Start fresh on this device?,Repartir de zéro sur cet appareil ?,Anza upya kwenye kifaa hiki?
keyMissingStartFreshWarn,Your previous encrypted prayers will stay locked and can't be recovered. New prayers will be encrypted with a new key on this device.,Vos anciennes prières chiffrées resteront verrouillées et ne pourront pas être récupérées. Les nouvelles prières seront chiffrées avec une nouvelle clé sur cet appareil.,Maombi yako ya awali yaliyosimbwa yatabaki yamefungwa na hayawezi kurejeshwa. Maombi mapya yatasimbwa kwa ufunguo mpya kwenye kifaa hiki.
keyMissingStartFreshConfirm,Start fresh,Repartir de zéro,Anza upya
backupKeyTitle,Back up your encryption key,Sauvegardez votre clé de chiffrement,Hifadhi nakala ya ufunguo wako wa usimbaji
backupKeyBody,Your prayers are encrypted with a key kept only on this device. Set up recovery so you don't lose access if you switch browsers or clear your data.,Vos prières sont chiffrées avec une clé conservée uniquement sur cet appareil. Configurez la récupération pour ne pas perdre l'accès si vous changez de navigateur ou effacez vos données.,Maombi yako yamesimbwa kwa ufunguo uliohifadhiwa kwenye kifaa hiki pekee. Weka urejeshaji ili usipoteze ufikiaji ukibadilisha kivinjari au ukifuta data yako.
backupKeyCta,Set up recovery,Configurer la récupération,Weka urejeshaji
backupKeyDismiss,Not now,Plus tard,Sio sasa
backupKeyWarn,"Without a backup, no one — not even we — can recover your prayers.","Sans sauvegarde, personne — pas même nous — ne peut récupérer tes prières.","Bila hakuna nakala rudufu, hakuna yeyote — hata sisi — anayeweza kurejesha maombi yako."
backupKeyDismissForever,Don't show again,Ne plus afficher,Usionyeshe tena
activePrayers,Active,Actives,Yanayoendelea
answeredPrayers,Answered,Exaucées,Yaliyojibiwa
todaysPrayers,Today's prayers,Prières d'aujourd'hui,Maombi ya leo
subjects,subjects,sujets,mambo
noPrayersToday,No prayers scheduled for today,Aucune prière planifiée pour aujourd'hui,Hakuna maombi yaliyopangwa leo
noPrayersSub,Add prayers or set up your weekly plan,Ajoutez des prières ou configurez votre plan,Ongeza maombi au weka mpango wako wa wiki
greetingMorning,Good morning,Bonjour,Habari za asubuhi
greetingAfternoon,Good afternoon,Bon après-midi,Habari za mchana
greetingEvening,Good evening,Bonsoir,Habari za jioni
search,Search...,Rechercher...,Tafuta...
all,All,Toutes,Yote
active,Active,Actives,Yanayoendelea
answered,Answered,Exaucées,Yaliyojibiwa
allCategories,All categories,Toutes catégories,Makundi yote
noPrayersFound,No prayers found,Aucune prière trouvée,Hakuna maombi yaliyopatikana
noPrayersFoundSub,Add your first prayer with the + button,Ajoutez votre première prière avec le bouton +,Ongeza ombi lako la kwanza kwa kitufe cha +
prayer,prayer,prière,ombi
prayers2,prayers,prières,maombi
active2,Active,Actif,Inaendelea
answered2,Answered ✓,Exaucé ✓,Ilijibiwa ✓
noUpdate,No updates yet,Aucune évolution,Hakuna mabadiliko
newUpdate,New update...,Nouvelle évolution...,Mabadiliko mapya...
evolutions,Updates,Évolutions,Mabadiliko
aiSubjects,Prayer Points,Points de Prière,Pointi za Maombi
aiSuggest,Receive suggestions...,Recevoir des suggestions...,Pokea mapendekezo...
aiPlaceholder,Tap to receive suggestions...,Appuyez pour recevoir des suggestions...,Gonga kupata mapendekezo...
aiConsentTitle,AI Feature,Fonctionnalité IA,Kipengele cha AI
aiConsentNoticePrayer,What we send: your prayer title and last update. Nothing else.,Ce que nous envoyons : le titre et la dernière mise à jour de votre prière. Rien d'autre.,Tunachotuma: kichwa cha ombi lako na sasisho la mwisho. Kitu kingine chochote.
aiConsentBodyPrayer,"To generate prayer points and verse suggestions, we send your prayer title and last update to Claude AI (Anthropic). This data is not stored by Anthropic beyond the API call.","Pour générer des points de prière et suggestions de versets, nous envoyons le titre et la dernière mise à jour de votre prière à Claude AI (Anthropic). Ces données ne sont pas stockées par Anthropic au-delà de l'appel API.","Ili kuzalisha pointi za maombi na mapendekezo ya mistari, tunatuma kichwa na sasisho la mwisho la ombi lako kwa Claude AI (Anthropic). Data hii haihifadhiwi zaidi ya simu ya API."
aiConsentNoticeHome,"What we send: your prayer category names for today (e.g. Family, Health). Nothing else.","Ce que nous envoyons : les noms de vos catégories de prière du jour (ex. Famille, Santé). Rien d'autre.","Tunachotuma: majina ya makundi yako ya maombi ya leo (mfano: Familia, Afya). Kitu kingine chochote."
aiConsentBodyHome,"To suggest prayers for today, we send your day's category names to Claude AI (Anthropic). No personal prayer content is shared.","Pour suggérer des prières pour aujourd'hui, nous envoyons vos catégories du jour à Claude AI (Anthropic). Aucune prière personnelle n'est partagée.","Ili kupendekeza maombi ya leo, tunatuma makundi yako ya siku kwa Claude AI (Anthropic). Maudhui ya kibinafsi ya maombi hayashirikiwi."
aiConsentAccept,I agree,J'accepte,Nakubali
aiConsentDecline,No thanks,Non merci,"Hapana, asante"
aiConsentFooter,This only applies to AI features. Your prayers remain private.,Ce choix ne s'applique qu'aux fonctionnalités IA. Vos prières restent privées.,Hii inatumika kwa vipengele vya AI peke yake. Maombi yako yanabaki ya siri.
aiAboutTitle,AI assistance,Assistance IA,Usaidizi wa AI
